url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/30802712/dvosoban-stan-alipasino-polje-a-faza-novi-grad/,Dvosoban stan - Alipašino polje A faza - Novi grad,79.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.845759,18.353735&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29739217/dobrinji-c5-70m2-1-sprat-1899km-bez-posrednika/,DOBRINJI C5 70m2 1 sprat 1899KM BEZ POSREDNIKA,134.999 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.826044,18.347228&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30746509/dobrinaj-c5-70m2-1899km-m2-prvi-sprat/,DOBRINAJ C5 70M2 1899KM/m2 PRVI SPRAT,1.899 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.826017,18.347362&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/27450782/potpuno-namjesten-dvosoban-stan-hrasno/,"Potpuno namješten, dvosoban stan, Hrasno.",109.500 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.850741,18.380208&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30069111/stan-sarajevo-vraca-57m2/,STAN SARAJEVO VRACA 57m2,127.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.847004,18.397824&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/10657301/stan-ilidza-otes-69-61m2-1365-km-m2/,"Stan Ilidža - Otes 69,61m2 1365 KM/m2",95.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.839331,18.297121&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31355762/super-ponuda-grbavica-dvosoban-stan/,Super ponuda / Grbavica - Dvosoban stan,105.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.849561,18.393753&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31404019/stan-centar-146m2-zelenih-beretki/,STAN/ CENTAR/ 146m2/ Zelenih Beretki,256.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.858193,18.426246&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30823030/trosoban-stan-u-ulici-avde-jabucice/,Trosoban stan u ulici Avde Jabucice,165.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.859198,18.408087&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30981515/dvosoban-stan-na-mojmilu/,Dvosoban stan na Mojmilu,110.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.838245,18.347032&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29012423/atraktivan-stan-u-nahorevskoj-ulici/,Atraktivan stan u Nahorevskoj ulici,159.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.896598,18.416166&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31501196/prostor-prodaje-cetverosoban-stan-sa-lodjom-stup/,"PROSTOR prodaje: Četverosoban stan sa lođom, Stup",139.900 KM,Ilidža,"https://maps.google.com/maps?ll=43.840476,18.324716&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30798949/dvosoban-stan-na-kosevskom-brdu/,Dvosoban stan na Kosevskom Brdu,79.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.86975,18.403964&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30618394/novogradnja-kromolj-breka-bjelave-vogosca/,NOVOGRADNJA KROMOLJ - breka bjelave vogosca,2.200 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.881072,18.408956&z=16&hl=en-US&gl=US&mapclient=apiv3"
